Seed,Species,Shiny,EC,PID,Tera Type,HP,Atk,Def,SpA,SpD,Spe,Ability,Nature,Gender,Height,Weight,Scale,Drops
0B66E57F,Sableye,No,2E044FDA,9DDEDCF0,Fire,31,31,31,31,31,31,Keen Eye,Jolly,Female,157,125,157,0
0B8A647B,Glimmet,No,2E27CED6,3092BF58,Rock,31,31,31,31,31,31,Corrosion,Lonely,Female,180,60,147,0
0C362E1E,Cetoddle,No,2ED39879,E5CFD94D,Water,31,31,31,31,31,31,Thick Fat,Rash,Female,172,86,100,0
0CDAAF1A,Goomy,No,2F781975,7404E655,Bug,31,31,31,31,31,31,Hydration,Careful,Male,125,196,154,0
0D1955FA,Cubchoo,No,2FB6C055,79F33E1A,Bug,31,31,31,31,31,31,Snow Cloak,Naive,Female,70,123,55,0
0D426F7A,Indeedee,No,2FDFD9D5,156F0FF8,Bug,31,31,31,31,31,31,Synchronize,Hasty,Female,176,160,113,0
0D6BA37A,Naclstack,No,30090DD5,AEB05F8A,Bug,31,31,31,31,31,31,Purifying Salt,Docile,Male,65,50,82,0
0D9ACBF7,Noibat,No,30383652,748D7A32,Fairy,31,31,31,31,31,31,Telepathy,Serious,Male,202,112,113,0
0DAEEE7E,Frigibax,No,304C58D9,C449F3C0,Water,31,31,31,31,31,31,Thermal Exchange,Brave,Female,126,222,30,0
0DC1F177,Seviper,No,305F5BD2,17C3B8E8,Fairy,31,31,31,31,31,31,Shed Skin,Mild,Male,133,44,110,0
0E38A5F7,Carkol,No,30D61052,F96F5554,Fairy,31,31,31,31,31,31,Flame Body,Lonely,Female,172,33,182,0
0E57BAFE,Rufflet,No,30F52559,5D85FE74,Water,31,31,31,31,31,31,Hustle,Serious,Male,139,126,177,0
0E639F77,Marill,No,310109D2,8E297316,Fairy,31,31,31,31,31,31,Sap Sipper,Lonely,Female,20,46,119,0
0E8F1E73,Dratini,No,312C88CE,40C570CE,Ice,31,31,31,31,31,31,Shed Skin,Hasty,Male,43,140,106,0
0ECC4304,Charcadet,No,3169AD5F,4D213195,Ground,31,31,31,31,31,31,Flame Body,Careful,Male,142,51,147,0
0F20BFF1,Skiploom,No,31BE2A4C,98BE489E,Electric,31,31,31,31,31,31,Infiltrator,Lax,Male,107,174,127,0
0F32C576,Deino,No,31D02FD1,D218CF1A,Fairy,31,31,31,31,31,31,Hustle,Relaxed,Male,109,113,136,0
0F4CE493,Dolliv,No,31EA4EEE,4932A2C9,Ice,31,31,31,31,31,31,Early Bird,Relaxed,Male,134,194,158,0
0FC10386,Tinkatuff,No,325E6DE1,17497277,Fighting,31,31,31,31,31,31,Mold Breaker,Careful,Female,171,94,152,0
0FD37901,Eevee,No,3270E35C,4FD367FD,Dragon,31,31,31,31,31,31,Anticipation,Naughty,Male,94,145,62,0
104E1B1F,Flaaffy,No,32EB857A,484D3DD0,Water,31,31,31,31,31,31,Plus,Naughty,Male,132,106,104,0
1095FBF9,Pikachu,No,33336654,6E6FD2D3,Steel,31,31,31,31,31,31,Lightning Rod,Quiet,Female,45,140,133,0
116160FB,Fletchinder,No,33FECB56,9B36E217,Bug,31,31,31,31,31,31,Gale Wings,Relaxed,Female,17,129,113,0
11694214,Bronzor,No,3406AC6F,BAB4066D,Dragon,31,31,31,31,31,31,Heavy Metal,Quirky,Genderless,70,124,51,0
116DF7FA,Riolu,No,340B6255,CCDEDE28,Ghost,31,31,31,31,31,31,Inner Focus,Mild,Male,153,122,197,0
121BAA76,Rufflet,No,34B914D1,74F9284B,Fairy,31,31,31,31,31,31,Sheer Force,Rash,Male,15,114,216,0
122F8FFF,Pincurchin,No,34CCFA5A,C49469BB,Water,31,31,31,31,31,31,Lightning Rod,Brave,Female,68,181,104,0
1274B57F,Zorua,No,35121FDA,F0EC6BAF,Water,31,31,31,31,31,31,Illusion,Rash,Male,139,154,209,0
1298347B,Hippopotas,No,35359ED6,7FA26027,Bug,31,31,31,31,31,31,Sand Stream,Lax,Male,157,56,142,0
12C30EFB,Indeedee,No,35607956,12D85603,Bug,31,31,31,31,31,31,Psychic Surge,Hardy,Male,110,171,159,0
12F72B72,Bergmite,No,359495CD,E3540B83,Psychic,31,31,31,31,31,31,Ice Body,Brave,Female,113,212,146,0
133806F7,Gothorita,No,35D57152,FD8C2F91,Fairy,31,31,31,31,31,31,Shadow Tag,Serious,Female,183,135,160,0
136F0AF8,Goomy,No,360C7553,C1510AA9,Fire,31,31,31,31,31,31,Sap Sipper,Bold,Male,144,23,146,0
13B74F9F,Zorua,No,3654B9FA,E0FBBF70,Water,31,31,31,31,31,31,Illusion,Timid,Male,64,211,111,0
13D85096,Goomy,No,3675BAF1,7CE70A4C,Fairy,31,31,31,31,31,31,Gooey,Lonely,Female,121,176,41,0
13D9BA80,Sunflora,No,367724DB,7C4F998A,Fighting,31,31,31,31,31,31,Chlorophyll,Quirky,Male,247,118,78,0
140B05FA,Makuhita,No,36A87055,39249D69,Ghost,31,31,31,31,31,31,Guts,Brave,Male,53,68,100,0
1418D46C,Hippopotas,No,36B63EC7,85D18DA4,Ghost,31,31,31,31,31,31,Sand Stream,Lonely,Male,91,146,130,0
143F2073,Larvesta,No,36DC8ACE,08C16421,Ice,31,31,31,31,31,31,Flame Body,Quirky,Male,81,163,95,0
144204FA,Naclstack,No,36DF6F55,1CDEB7A0,Ghost,31,31,31,31,31,31,Sturdy,Lax,Male,80,176,137,0
14507E7D,Dratini,No,36EDE8D8,63395C18,Electric,31,31,31,31,31,31,Marvel Scale,Impish,Female,224,85,115,0
147DA0FF,Fletchinder,No,371B0B5A,1278FCA2,Water,31,31,31,31,31,31,Flame Body,Lonely,Male,153,121,133,0
14889BF7,Pikachu,No,37260652,477D6971,Fairy,31,31,31,31,31,31,Static,Impish,Female,181,76,100,0
14D3A177,Oinkologne,No,37710BD2,5AD34839,Psychic,31,31,31,31,31,31,Thick Fat,Calm,Male,138,146,142,0
14F9681B,Venomoth,No,3796D276,000EBCC7,Bug,31,31,31,31,31,31,Wonder Skin,Quirky,Male,86,111,200,0
15105B97,Marill,No,37ADC5F2,62E4C474,Fighting,31,31,31,31,31,31,Huge Power,Lonely,Female,174,105,236,0
1531AB02,Bergmite,No,37CF155D,E1C2B59C,Dark,31,31,31,31,31,31,Own Tempo,Mild,Female,162,103,188,0
15455908,Eevee,No,37E2C363,2EB10FC1,Poison,31,31,31,31,31,31,Adaptability,Naive,Male,15,119,114,0
15A7E013,Snover,No,38454A6E,A9667ECE,Ice,31,31,31,31,31,31,Soundproof,Bold,Male,73,96,117,0
15FCDA93,Chansey,No,389A44EE,152ED7DC,Ice,31,31,31,31,31,31,Healer,Docile,Female,113,161,57,0
16091871,Haunter,No,38A682CC,3F50D22C,Electric,31,31,31,31,31,31,Levitate,Hasty,Female,203,222,96,0
168D3293,Dolliv,No,392A9CEE,4F15E05B,Ice,31,31,31,31,31,31,Early Bird,Gentle,Female,147,158,121,0
170E4583,Tinkatuff,No,39ABAFDE,48FEF86D,Psychic,31,31,31,31,31,31,Own Tempo,Timid,Female,185,210,170,0
171ED07E,Sableye,No,39BC3AD9,8B3C26ED,Grass,31,31,31,31,31,31,Keen Eye,Quirky,Female,231,59,99,0
1737E3EE,Tinkatuff,No,39D54E49,E69A1920,Fire,31,31,31,31,31,31,Own Tempo,Naughty,Female,117,195,115,0
179D4E73,Frigibax,No,3A3AB8CE,8D574FFD,Ice,31,31,31,31,31,31,Thermal Exchange,Impish,Male,154,141,148,0
17C674F3,Basculin,No,3A63DF4E,290BD99D,Ice,31,31,31,31,31,31,Reckless,Timid,Male,196,47,158,0
17F2517A,Seviper,No,3A8FBBD5,D98F2555,Ghost,31,31,31,31,31,31,Shed Skin,Quirky,Male,128,209,141,0
181A2B78,Bergmite,No,3AB795D3,803C553F,Water,31,31,31,31,31,31,Ice Body,Gentle,Female,234,44,123,0
182E0EF1,Indeedee,No,3ACB794C,CFD798C7,Electric,31,31,31,31,31,31,Psychic Surge,Careful,Male,160,194,128,0
184111F8,Kricketune,No,3ADE7C53,233673EB,Water,31,31,31,31,31,31,Technician,Rash,Male,46,150,124,0
18948806,Mareanie,No,3B31F261,7A358C76,Fighting,31,31,31,31,31,31,Regenerator,Adamant,Female,134,199,152,0
18AD90FC,Numel,No,3B4AFB57,D6005FD3,Ice,31,31,31,31,31,31,Oblivious,Relaxed,Male,55,165,111,0
19209BFA,Pikachu,No,3BBE0655,A892DE18,Steel,31,31,31,31,31,31,Static,Rash,Female,120,220,165,0
197A4B6C,Bergmite,No,3C17B5C7,FF808684,Ghost,31,31,31,31,31,31,Own Tempo,Rash,Male,181,109,72,0
19907304,Pelipper,No,3C2DDD5F,68763950,Bug,31,31,31,31,31,31,Drizzle,Calm,Male,93,97,96,0
1993D5F4,Cubchoo,No,3C31404F,5E09EAD5,Dragon,31,31,31,31,31,31,Rattled,Gentle,Female,112,88,89,0
19B6CE91,Naclstack,No,3C5438EC,F23DFC5C,Electric,31,31,31,31,31,31,Purifying Salt,Calm,Male,169,58,132,0
1A2C527D,Stantler,No,3CC9BCD8,D6C803E9,Psychic,31,31,31,31,31,31,Intimidate,Naughty,Male,116,167,112,0
1AF82195,Girafarig,No,3D958BF0,0628C44E,Dark,31,31,31,31,31,31,Early Bird,Bashful,Female,133,70,101,0
1B0FFEFC,Flaaffy,No,3DAD6957,4C12F3A7,Ice,31,31,31,31,31,31,Plus,Modest,Male,56,52,214,0
1B54C47C,Glimmet,No,3DF22ED7,772E5D73,Ice,31,31,31,31,31,31,Toxic Debris,Serious,Male,23,187,179,0
1B60E1F5,Oinkologne,No,3DFE4C50,A7F32103,Dark,31,31,31,31,31,31,Gluttony,Jolly,Female,33,191,103,0
1B63A59E,Snover,No,3E010FF9,9ADEA150,Electric,31,31,31,31,31,31,Soundproof,Jolly,Male,195,60,158,0
1B8C60F1,Fletchinder,No,3E29CB4C,567E129B,Electric,31,31,31,31,31,31,Flame Body,Modest,Male,95,148,90,0
1B90636E,Charcadet,No,3E2DCDC9,6677C0EB,Fire,31,31,31,31,31,31,Flame Body,Bold,Female,135,119,49,0
1B95BE8C,Magikarp,No,3E3328E7,739B1CD3,Ghost,31,31,31,31,31,31,Swift Swim,Adamant,Male,173,23,162,0
1BB84578,Oinkologne,No,3E55AFD3,06225A5B,Water,31,31,31,31,31,31,Thick Fat,Impish,Female,116,106,70,0
1BD75A71,Sunflora,No,3E74C4CC,69D41977,Electric,31,31,31,31,31,31,Early Bird,Quiet,Female,148,86,59,0
1BD8C97F,Lokix,No,3E7633DA,878DCF09,Grass,31,31,31,31,31,31,Swarm,Serious,Female,178,91,114,0
1BDFEFF6,Morgrem,No,3E7D5A51,8C1CB460,Fairy,31,31,31,31,31,31,Prankster,Hardy,Male,152,95,151,0
1C437705,Gible,No,3EE0E160,2029D9C3,Normal,31,31,31,31,31,31,Sand Veil,Serious,Female,42,161,124,0
1C4E7F16,Rufflet,No,3EEBE971,543EFD58,Fairy,31,31,31,31,31,31,Keen Eye,Modest,Male,42,164,118,0
1CB0B1F5,Kricketune,No,3F4E1C50,EDF8855E,Dark,31,31,31,31,31,31,Swarm,Brave,Male,160,187,125,0
1CE88E19,Hippopotas,No,3F85F874,CEB4FD54,Fire,31,31,31,31,31,31,Sand Stream,Impish,Female,16,113,148,0
1D442AF7,Goomy,No,3FE19552,3A77879C,Electric,31,31,31,31,31,31,Hydration,Modest,Male,94,177,174,0
1D704E79,Frigibax,No,400DB8D4,EBFF1141,Fire,31,31,31,31,31,31,Thermal Exchange,Docile,Male,158,21,125,0
1D7CC702,Oranguru,No,401A315D,1E0E7584,Normal,31,31,31,31,31,31,Telepathy,Hasty,Female,126,97,75,0
1D9CCF7D,Indeedee,No,403A39D8,9E9A0F09,Psychic,31,31,31,31,31,31,Synchronize,Lonely,Female,157,232,50,0
1DF3D074,Sableye,No,40913ACF,E2536669,Dragon,31,31,31,31,31,31,Prankster,Relaxed,Female,47,228,159,0
1E0A84F4,Corvisquire,No,40A7EF4F,43DF5C5D,Dragon,31,31,31,31,31,31,Big Pecks,Sassy,Female,143,180,199,0
1E3EA17D,Oinkologne,No,40DC0BD8,137C212D,Psychic,31,31,31,31,31,31,Thick Fat,Bold,Male,142,213,102,0
1E40C19F,Bronzor,No,40DE2BFA,2CB60BD9,Grass,31,31,31,31,31,31,Heatproof,Jolly,Genderless,139,11,58,0
1E51BE74,Dratini,No,40EF28CF,6779724D,Dragon,31,31,31,31,31,31,Marvel Scale,Rash,Female,137,111,117,0
1E659BFD,Pikachu,No,41030658,B835AFB5,Psychic,31,31,31,31,31,31,Static,Quiet,Male,57,192,93,0
1EBD3F70,Marill,No,415AA9CB,16555605,Grass,31,31,31,31,31,31,Thick Fat,Naughty,Female,48,156,66,0
1EE605F0,Charcadet,No,4183704B,B24D57E5,Grass,31,31,31,31,31,31,Flash Fire,Hardy,Female,135,118,89,0
2018781A,Eevee,No,42B5E275,8DFD4255,Fighting,31,31,31,31,31,31,Anticipation,Mild,Male,205,119,82,0
201B7D76,Dunsparce (Common),No,42B8E7D1,89ED75EB,Fairy,31,31,31,31,31,31,Rattled,Mild,Female,173,135,148,0
2043429A,Hippopotas,No,42E0ACF5,29790CCD,Fighting,31,31,31,31,31,31,Sand Stream,Hasty,Female,117,169,167,0
20FAC101,Oinkologne,No,43982B5C,03E6C332,Ghost,31,31,31,31,31,31,Lingering Aroma,Docile,Male,175,174,138,0
213703FE,Tinkatuff,No,43D46E59,F9E5DF18,Rock,31,31,31,31,31,31,Own Tempo,Hardy,Female,217,146,116,0
216C397E,Magikarp,No,4409A3D9,DDCBCD0A,Rock,31,31,31,31,31,31,Rattled,Docile,Female,105,58,124,0
21DAB3EE,Makuhita,No,44781E49,842DC7A9,Fire,31,31,31,31,31,31,Guts,Bashful,Male,178,52,140,0
21E37175,Seviper,No,4480DBD0,A9625926,Dark,31,31,31,31,31,31,Shed Skin,Careful,Male,85,196,170,0
21EFA773,Oranguru,No,448D11CE,D8B62BF2,Ice,31,31,31,31,31,31,Inner Focus,Quirky,Female,109,40,130,0
21EFE674,Steenee,No,448D50CF,D7B25707,Dragon,31,31,31,31,31,31,Sweet Veil,Impish,Female,141,151,74,0
21FD9CF3,Girafarig,No,449B074E,1FB88171,Ice,31,31,31,31,31,31,Inner Focus,Gentle,Female,59,99,141,0
2218CBEC,Noibat,No,44B63647,89747421,Ghost,31,31,31,31,31,31,Telepathy,Timid,Female,88,163,198,0
22A14877,Mareanie,No,453EB2D2,B024ABBC,Electric,31,31,31,31,31,31,Regenerator,Impish,Female,192,185,241,0
22A3A70D,Spidops,No,45411168,A7921E76,Steel,31,31,31,31,31,31,Insomnia,Naive,Male,213,153,84,0
22CE577E,Gible,No,456BC1D9,53F25F1C,Rock,31,31,31,31,31,31,Sand Veil,Hasty,Male,24,132,107,0
230DAD9E,Eevee,No,45AB17F9,5DDDDCD9,Rock,31,31,31,31,31,31,Run Away,Gentle,Male,122,143,157,0
230DEC99,Pelipper,No,45AB56F4,5CE20808,Flying,31,31,31,31,31,31,Keen Eye,Bashful,Male,194,135,193,0
23B68078,Larvesta,No,4653EAD3,F216865D,Poison,31,31,31,31,31,31,Swarm,Jolly,Female,237,113,149,0
23BA161A,Carkol,No,46578075,0452F571,Fighting,31,31,31,31,31,31,Steam Engine,Calm,Female,117,140,153,0
243F4485,Corvisquire,No,46DCAEE0,1E325C75,Normal,31,31,31,31,31,31,Unnerve,Naughty,Female,177,93,76,0
245D66FF,Gothorita,No,46FAD15A,A5559A62,Ground,31,31,31,31,31,31,Shadow Tag,Lax,Female,104,89,164,0
24DEF8F2,Ditto,No,477C634D,97ADEF26,Psychic,31,31,31,31,31,31,Imposter,Relaxed,Genderless,178,95,159,0
24EF0103,Oinkologne,No,478C6B5E,DF7E1967,Ghost,31,31,31,31,31,31,Thick Fat,Calm,Male,65,158,135,0
2529279B,Mareanie,No,47C691F6,D5D690CF,Normal,31,31,31,31,31,31,Limber,Hardy,Female,47,179,130,0
25721D1B,Sunflora,No,480F8776,E9B03E0B,Normal,31,31,31,31,31,31,Chlorophyll,Quiet,Female,121,156,67,0
25AAB996,Sunflora,No,484823F1,C7FEB8D3,Fairy,31,31,31,31,31,31,Solar Power,Gentle,Female,124,110,23,0
25D9A500,Noibat,No,48770F5B,93F1B027,Ghost,31,31,31,31,31,31,Infiltrator,Serious,Female,183,104,222,0
2619DEF8,Flaaffy,No,48B74953,92287792,Poison,31,31,31,31,31,31,Static,Mild,Female,206,222,200,0
264A6002,Larvesta,No,48E7CA5D,47297351,Fairy,31,31,31,31,31,31,Swarm,Naughty,Male,93,130,89,0
268B499B,Marill,No,4928B3F6,4C7CC3BB,Normal,31,31,31,31,31,31,Thick Fat,Relaxed,Male,124,48,100,0
26CF34EF,Basculin,No,496C9F4A,5CED11EA,Water,31,31,31,31,31,31,Adaptability,Lax,Female,241,116,152,0
273BAFED,Morgrem,No,49D91A48,096A5128,Steel,31,31,31,31,31,31,Frisk,Bashful,Male,228,194,145,0
2748B37B,Kirlia,No,49E61DD6,4D8B07FA,Normal,31,31,31,31,31,31,Trace,Gentle,Female,131,97,165,0
27617F7B,Marill,No,49FEE9D6,B288081C,Normal,31,31,31,31,31,31,Sap Sipper,Calm,Male,136,153,27,0
27A4327F,Stantler,No,4A419CDA,C05F2462,Ground,31,31,31,31,31,31,Intimidate,Gentle,Female,230,106,82,0
27DA139A,Numel,No,4A777DF5,886D6945,Fighting,31,31,31,31,31,31,Simple,Docile,Female,194,111,105,0
27DEC282,Naclstack,No,4A7C2CDD,9534AEA2,Flying,31,31,31,31,31,31,Clear Body,Careful,Male,172,75,181,0
27FF08FF,Spidops,No,4A9C735A,1C2BAE48,Ground,31,31,31,31,31,31,Insomnia,Hasty,Male,154,139,76,0
281772FD,Larvitar,No,4AB4DD58,82E5D562,Ghost,31,31,31,31,31,31,Sand Veil,Impish,Male,90,51,101,0
284D0286,Naclstack,No,4AEA6CE1,69725C80,Fighting,31,31,31,31,31,31,Clear Body,Jolly,Female,22,218,45,0
2852A498,Kricketune,No,4AF00EF3,6BD14D4C,Ground,31,31,31,31,31,31,Swarm,Quiet,Female,163,141,164,0
28758098,Tinkatuff,No,4B12EAF3,077F0951,Ground,31,31,31,31,31,31,Mold Breaker,Quirky,Female,121,175,137,0
28A0C979,Lokix,No,4B3E33D4,B5696CC8,Poison,31,31,31,31,31,31,Swarm,Mild,Male,248,136,137,0
28CFD670,Luxio,No,4B6D40CB,60B49E30,Grass,31,31,31,31,31,31,Rivalry,Timid,Male,90,175,187,0
28FBF3F9,Makuhita,No,4B995E54,1130DE4A,Poison,31,31,31,31,31,31,Thick Fat,Adamant,Male,113,151,24,0
290F29FC,Finizen,No,4BAC9457,612EBB8F,Steel,31,31,31,31,31,31,Water Veil,Impish,Female,188,102,153,0
29380919,Skiploom,No,4BD57374,14BF0485,Poison,31,31,31,31,31,31,Leaf Guard,Lonely,Female,198,174,172,0
294783ED,Tinkatuff,No,4BE4EE48,3E97B975,Steel,31,31,31,31,31,31,Pickpocket,Modest,Female,121,197,84,0
29633399,Stantler,No,4C009DF4,B0F6C6CD,Poison,31,31,31,31,31,31,Sap Sipper,Jolly,Male,191,185,149,0
29A63F9A,Zorua,No,4C43A9F5,BD940DAE,Flying,31,31,31,31,31,31,Illusion,Lonely,Male,100,156,105,0
29E0AD94,Cubchoo,No,4C7E17EF,B38D81D5,Dragon,31,31,31,31,31,31,Snow Cloak,Hardy,Female,137,121,129,0
2AA2D4F2,Basculin,No,4D403F4D,AB5542D5,Psychic,31,31,31,31,31,31,Reckless,Bold,Female,112,97,88,0
2B02A779,Oranguru,No,4DA011D4,28FEE2F6,Poison,31,31,31,31,31,31,Inner Focus,Bold,Female,176,229,66,0
2B599DF9,Sneasel,No,4DF70854,9442D56C,Poison,31,31,31,31,31,31,Keen Eye,Bold,Female,216,202,132,0
2B813974,Magikarp,No,4E1EA3CF,37A415C6,Dragon,31,31,31,31,31,31,Rattled,Lax,Female,169,171,155,0
2BA58900,Finizen,No,4E42F35B,C50B087E,Fairy,31,31,31,31,31,31,Water Veil,Hasty,Male,116,17,118,0
2BA7B3F9,Makuhita,No,4E451E54,BDE380AB,Poison,31,31,31,31,31,31,Guts,Sassy,Male,150,183,153,0
2BDA03F4,Tinkatuff,No,4E776E4F,8AAEB3A4,Dragon,31,31,31,31,31,31,Own Tempo,Careful,Female,167,136,135,0
2BED2311,Carkol,No,4E8A8D6C,E7642A7E,Electric,31,31,31,31,31,31,Flash Fire,Naive,Female,87,38,125,0
2C095698,Carkol,No,4EA6C0F3,5ED6C2D3,Ground,31,31,31,31,31,31,Steam Engine,Quiet,Female,115,109,135,0
2C3CC383,Tinkatuff,No,4EDA2DDE,293C7DE8,Steel,31,31,31,31,31,31,Pickpocket,Calm,Female,116,169,114,0
2C3E377A,Gible,No,4EDBA1D5,216C4230,Flying,31,31,31,31,31,31,Sand Veil,Docile,Male,128,112,163,0
2CAEEE08,Frigibax,No,4F4C5863,E16ACCFD,Poison,31,31,31,31,31,31,Ice Body,Timid,Female,96,124,138,0
2CD1F215,Basculin,No,4F6F5C70,7C9530FB,Dark,31,31,31,31,31,31,Reckless,Relaxed,Female,133,61,44,0
2D262D7C,Staravia,No,4FC397D7,C0CF158A,Steel,31,31,31,31,31,31,Intimidate,Impish,Female,145,4,122,0
